id,NumeroAdquisicion,DescripcionAdquisicion,NombreUnidadCompra,NombreDependencia,Estado,nnc,IdEmpresa,modalidad,MontoRef,fecha,link
0,2021-0-12-14-08-EM-020271,"REQ. 21-1012//// BESILATO DE ATRACURIO, 10 mg/ml, solución, ampolla, 2.5 - 5 ml, I.V. F/T 10212",MINISTERIO DE SALUD/Compras (H. SANTO TOMÁS),HOSPITAL SANTO TOMÁS,Autorizado,0,NTwwMTYzNFs2NjwyMVs2MTUwPDQ0,Adjudicacion Global,0.0,21-01-2021 04:43 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-12-14-08-EM-020271&esap=1&nnc=0&it=1
1,2021-0-12-14-08-EM-020253,"**21-1024**FENTANILO 0.05 mg/ml, SOLUCION AMPOLLA O VIAL, 2 ML, I.M., I.V. F/T 10115",MINISTERIO DE SALUD/Compras (H. SANTO TOMÁS),HOSPITAL SANTO TOMÁS,Autorizado,0,NTwwMTYzNFs2NjwyMVs2MTUwMTUy,Adjudicacion Global,0.0,21-01-2021 03:52 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-12-14-08-EM-020253&esap=1&nnc=0&it=1
2,2020-0-12-224-09-EM-009425,"AZITROMICINA 500MG, POLVO PARA RECONSTITUCION, VIAL, I.V.",MINISTERIO DE SALUD/DEP. DE COMPRAS(H. LUIS CHICHO FABREGA),HOSPITAL LUIS CHICHO FABREGA,Autorizado,0,NTwwMTYzNFs2Nj09PFs2MDQ1Mjw3,Adjudicacion Global,0.0,21-01-2021 03:48 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-224-09-EM-009425&esap=1&nnc=0&it=1
3,2021-0-12-14-08-EM-020258,"REQ*21-1011*DIPROPIONATO DE BECLOMETASONA, 50 mcg/inhalación, solución en aerosol libre de CFC, inhalador con 100 a 200 dosis, vía bucal. FT: 10774",MINISTERIO DE SALUD/Compras (H. SANTO TOMÁS),HOSPITAL SANTO TOMÁS,Autorizado,0,NTwwMTYzNFs2NjwyMVs2MTUwMjA2,Adjudicacion Global,0.0,21-01-2021 03:19 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-12-14-08-EM-020258&esap=1&nnc=0&it=1
4,2020-0-04-0-08-EM-012060,"Adquisición de implemento de Bioseguridad e insumo de aseo, por emergencia nacional Decretada Mediante Resolución N°11 del 13 de marzo del 2020, por la COVID-19 Req-422-2020",MINISTERIO DE GOBIERNO /DIRECCION DE PROVEDURIA Y COMPRAS,SEDE,Autorizado,0,NTwwMTYyN1s2NDw3MVs2MTQzMz09,Adjudicacion Global,0.0,21-01-2021 03:05 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-04-0-08-EM-012060&esap=1&nnc=0&it=1
5,2021-0-12-14-08-EM-020256,"21-1010 **SALBUTAMOL BASE O SULFATO , 100 mcg/inhalación, suspensión en aerosol libre de C.F.C., inhalador con 200-250 dosis, vía inhalatoria, F.T. 10184",MINISTERIO DE SALUD/Compras (H. SANTO TOMÁS),HOSPITAL SANTO TOMÁS,Autorizado,0,NTwwMTYzNFs2NjwyMVs2MTUwMjc1,Adjudicacion Global,0.0,21-01-2021 03:01 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-12-14-08-EM-020256&esap=1&nnc=0&it=1
6,2021-0-03-0-08-EM-041629,"SERVICIOS DE PREPRODUCCION, PRODUCCION Y PUESTA EN MARCHA DEL VIDEO EN MODALIDAD MAPPING  DURANTE EL PERIODO DEL 2 AL 22 DE NOVIEMBRE 2020",MINISTERIO DE LA PRESIDENCIA/DEPARTAMENTO DE COMPRAS - SEDE,SEDE,Autorizado,0,NTwwMTYyNls2NDMwMls2MTUwMjY8,Adjudicacion Global,0.0,20-01-2021 04:15 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-03-0-08-EM-041629&esap=1&nnc=0&it=1
7,2020-0-04-0-08-EM-012064,"Articulos de bioseguridad e insumos de aseo, para dotas a los Centros Penitenciarios, incluyendo a sus clínicas a nivel nacional para atender el Estado de Emergencia por motivo de la COVID-19",MINISTERIO DE GOBIERNO /DIRECCION DE PROVEDURIA Y COMPRAS,SEDE,Autorizado,0,NTwwMTYyN1s2NDw3MVs2MTQ9PDcy,Adjudicacion Global,0.0,20-01-2021 04:09 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-04-0-08-EM-012064&esap=1&nnc=0&it=1
8,2021-0-12-14-08-EM-019987,"21-0986 - FENTANILO 0.05 mg/ml, solución ampolla o vial, 2ml, I.M., I.V. FT 10115",MINISTERIO DE SALUD/Compras (H. SANTO TOMÁS),HOSPITAL SANTO TOMÁS,Autorizado,0,NTwwMTYzNFs2NjwyMVs2MTU0Mjc3,Adjudicacion Global,0.0,20-01-2021 02:01 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-12-14-08-EM-019987&esap=1&nnc=0&it=1
9,2020-0-12-224-09-EM-009431,INTEGRADOR PARA VAPOR (CLSE V)  REQ-156,MINISTERIO DE SALUD/DEP. DE COMPRAS(H. LUIS CHICHO FABREGA),HOSPITAL LUIS CHICHO FABREGA,Autorizado,0,NTwwMTYzNFs2Nj09PFs2MDQ1PTw0,Adjudicacion Global,0.0,15-01-2021 03:55 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-224-09-EM-009431&esap=1&nnc=0&it=1
